dataset,scenario,timestamp,co2,pm25,tvoc,temp,humidity,iaqiScore,m_orig,m_no_k,m_no_k_th,rK,rTh
dataset_1_previous_recomputed,orig_full_good,2026-04-12 02:03:23.405000+00:00,790.0,10.5,44.16666793823242,25.10814666748047,40.02310943603516,1.427,1.427,0.475,0.9976890563964836,1.427,0.9976890563964836
dataset_1_previous_recomputed,orig_full_good,2026-04-12 02:03:29.437000+00:00,796.0,10.5,44.33333206176758,25.11215209960937,40.00308227539063,1.587,1.5865,0.49,0.9996917724609368,1.5865,0.9996917724609368
dataset_1_previous_recomputed,orig_full_good,2026-04-12 02:46:08.081000+00:00,765.6666870117188,8.666666984558105,89.41666412353516,25.042724609375,40.01641082763672,3.0,3.0,0.4141667175292969,0.9983589172363281,3.0,0.9983589172363281
dataset_1_previous_recomputed,orig_full_good,2026-04-12 02:46:14.025000+00:00,766.0,8.833333015441895,89.66666412353516,25.042724609375,40.05646514892578,3.0,3.0,0.415,0.9943534851074218,3.0,0.9943534851074218
dataset_1_previous_recomputed,orig_full_good,2026-04-12 02:46:20.163000+00:00,766.3333129882812,9.0,89.91666412353516,25.02670288085937,40.06504821777344,3.0,3.0,0.4158332824707031,0.9934951782226562,3.0,0.9934951782226562
dataset_1_previous_recomputed,orig_full_good,2026-04-12 02:46:26.912000+00:00,766.6666870117188,9.0,90.16666412353516,25.014686584472656,40.09461212158203,3.0,3.0,0.41666671752929685,0.9905387878417968,3.0,0.9905387878417968
dataset_1_previous_recomputed,orig_full_good,2026-04-12 02:46:32.671000+00:00,767.0,8.833333015441895,90.33333587646484,25.0213623046875,40.09270477294922,3.0,3.0,0.4175,0.9907295227050781,3.0,0.9907295227050781
dataset_1_previous_recomputed,orig_full_good,2026-04-12 02:46:38.966000+00:00,767.3333129882812,8.666666984558105,90.58333587646484,25.02269744873047,40.07744598388672,3.0,3.0,0.4183332824707031,0.9922554016113281,3.0,0.9922554016113281
dataset_1_previous_recomputed,orig_full_good,2026-04-12 02:46:45.723000+00:00,767.6666870117188,8.333333015441895,90.83333587646484,25.014686584472656,40.06409454345703,3.0,3.0,0.41916671752929685,0.9935905456542968,3.0,0.9935905456542968
dataset_1_previous_recomputed,orig_full_good,2026-04-12 02:46:51.063000+00:00,768.3333129882812,8.333333015441895,91.0,25.013351440429688,40.10700988769531,3.0,3.0,0.4208332824707031,0.9892990112304687,3.0,0.9892990112304687
dataset_1_previous_recomputed,orig_full_good,2026-04-12 02:46:56.975000+00:00,769.0,8.333333015441895,91.25,25.02403259277344,40.13657379150391,3.0,3.0,0.4225,0.9863426208496087,3.0,0.9863426208496087
dataset_1_previous_recomputed,orig_full_good,2026-04-12 02:47:02.926000+00:00,770.3333129882812,8.0,91.75,25.02269744873047,40.10796356201172,3.0,3.0,0.4258332824707031,0.9892036437988281,3.0,0.9892036437988281
dataset_1_previous_recomputed,orig_full_good,2026-04-12 02:47:08.995000+00:00,771.6666870117188,7.666666507720947,92.08333587646484,25.03604888916016,40.13752746582031,3.0,3.0,0.42916671752929686,0.9862472534179687,3.0,0.9862472534179687
dataset_1_previous_recomputed,orig_full_good,2026-04-12 02:47:14.954000+00:00,773.0,7.666666507720947,92.25,25.038719177246094,40.15087890625,3.0,3.0,0.4325,0.984912109375,3.0,0.984912109375
dataset_1_previous_recomputed,orig_full_good,2026-04-12 02:47:21.111000+00:00,773.6666870117188,7.666666507720947,92.75,25.006675720214844,40.14515686035156,3.0,3.0,0.43416671752929686,0.9854843139648437,3.0,0.9854843139648437
dataset_1_previous_recomputed,orig_full_good,2026-04-12 02:47:28.075000+00:00,774.0,7.166666507720947,93.0,24.99332427978516,40.14515686035156,3.0,3.0,0.435,0.9854843139648437,3.0,0.9854843139648437
dataset_1_previous_recomputed,orig_full_good,2026-04-12 02:47:34.471000+00:00,774.6666870117188,6.5,93.16666412353516,25.00801086425781,40.169952392578125,3.0,3.0,0.43666671752929687,0.9830047607421875,3.0,0.9830047607421875
dataset_1_previous_recomputed,orig_full_good,2026-04-12 02:47:39.736000+00:00,775.3333129882812,6.333333492279053,93.33333587646484,25.01869201660156,40.19856262207031,3.0,3.0,0.43833328247070313,0.9801437377929687,3.0,0.9801437377929687
dataset_1_previous_recomputed,orig_full_good,2026-04-12 02:47:46.434000+00:00,776.3333129882812,6.5,93.5,25.013351440429688,40.19570159912109,3.0,3.0,0.44083328247070314,0.9804298400878914,3.0,0.9804298400878914
dataset_1_previous_recomputed,orig_full_good,2026-04-12 02:47:51.726000+00:00,777.0,6.5,93.66666412353516,25.014686584472656,40.18902587890625,3.0,3.0,0.4425,0.981097412109375,3.0,0.981097412109375
dataset_1_previous_recomputed,no_k_th_air_only,2026-04-12 01:29:50.031000+00:00,754.3333129882812,14.833333015441896,48.66666793823242,24.96528625488281,39.73320770263672,3.0,3.0,0.38583328247070314,1.026679229736328,3.0,1.026679229736328
dataset_1_previous_recomputed,no_k_th_air_only,2026-04-12 01:29:56.043000+00:00,753.0,14.166666984558104,48.83333206176758,24.953269958496094,39.706504821777344,3.0,3.0,0.3825,1.0293495178222656,3.0,1.0293495178222656
dataset_1_previous_recomputed,no_k_th_air_only,2026-04-12 01:30:02.097000+00:00,751.6666870117188,13.833333015441896,48.91666793823242,24.95861053466797,39.593971252441406,3.0,3.0,0.37916671752929687,1.0406028747558593,3.0,1.0406028747558593
dataset_1_previous_recomputed,no_k_th_air_only,2026-04-12 01:30:08.176000+00:00,751.0,13.5,49.0,24.962615966796875,39.44805908203125,3.0,3.0,0.3775,1.055194091796875,3.0,1.055194091796875
