co2,expireAt._nanoseconds,expireAt._seconds,humidity,iaqi.e_score,iaqi.i_score,iaqi.m_score,iaqi.primary_grade,iaqi.sub_level,iaqiScore,k,macAddress,nox,pm25,temp,timestamp._nanoseconds,timestamp._seconds,tvoc
808,213000000,1778554334,40.630577087402344,,0.364,0.52,보통,,0.52,,d83bda1d5960,1,8.666666984558105,25.029373168945312,304000000,1775962334,103.08333587646484
808,320000000,1778554340,40.67444610595703,,0.363,0.52,보통,,0.52,,d83bda1d5960,1,8.666666984558105,25.016021728515625,413000000,1775962340,103.33333587646484
808,255000000,1778554346,40.68207550048828,,0.363,0.52,보통,,0.52,,d83bda1d5960,1,8.833333015441895,25.0213623046875,350000000,1775962346,103.58333587646484
808,820000000,1778554353,40.67539978027344,,0.363,0.52,보통,,0.52,,d83bda1d5960,1,8.5,25.01068115234375,910000000,1775962353,103.83333587646484
809,207000000,1778554359,40.624855041503906,,0.365,0.523,보통,,0.523,,d83bda1d5960,1,8,25.02002716064453,300000000,1775962359,104.16666412353516
810.3333129882812,4000000,1778554366,40.61817932128906,,0.366,0.526,보통,,0.526,,d83bda1d5960,1,8,25.037384033203125,94000000,1775962366,104.41666412353516
811.6666870117188,681000000,1778554371,40.685890197753906,,0.365,0.529,보통,,0.529,,d83bda1d5960,1,7.833333492279053,25.03337860107422,771000000,1775962371,104.75
812.3333129882812,562000000,1778554377,40.67921447753906,,0.366,0.531,보통,,0.531,,d83bda1d5960,1,7.833333492279053,25.04405975341797,652000000,1775962377,105.08333587646484
812.6666870117188,576000000,1778554383,40.647743225097656,,0.367,0.532,보통,,0.532,,d83bda1d5960,1,7.833333492279053,25.03204345703125,666000000,1775962383,105.41666412353516
813,650000000,1778554389,40.647743225097656,,0.367,0.533,보통,,0.533,,d83bda1d5960,1,8.166666984558105,25.026702880859375,741000000,1775962389,105.75
813,615000000,1778554395,40.66204833984375,,0.367,0.533,보통,,0.533,,d83bda1d5960,1,8.333333015441895,25.036048889160156,705000000,1775962395,106.08333587646484
813.3333129882812,670000000,1778554401,40.65251159667969,,0.367,0.533,보통,,0.533,,d83bda1d5960,1,8.166666984558105,25.03070831298828,761000000,1775962401,106.41666412353516
814,603000000,1778554407,40.665863037109375,,0.367,0.535,보통,,0.535,,d83bda1d5960,1,8.333333015441895,25.00934600830078,696000000,1775962407,106.66666412353516
814.6666870117188,373000000,1778554415,40.66395568847656,,0.368,0.537,보통,,0.537,,d83bda1d5960,1,8.5,25.014686584472656,464000000,1775962415,106.91666412353516
815.3333129882812,706000000,1778554420,40.665863037109375,,0.368,0.538,보통,,0.538,,d83bda1d5960,1,8.333333015441895,25.028038024902344,795000000,1775962420,107.25
815.3333129882812,338000000,1778554427,40.70210266113281,,0.367,0.538,보통,,0.538,,d83bda1d5960,1,8.333333015441895,25.0213623046875,427000000,1775962427,107.83333587646484
815.6666870117188,208000000,1778554433,40.719268798828125,,0.367,0.539,보통,,0.539,,d83bda1d5960,1,8.5,25.01068115234375,300000000,1775962433,108.08333587646484
815.6666870117188,216000000,1778554439,40.716407775878906,,0.367,0.539,보통,,0.539,,d83bda1d5960,1,9,25.01068115234375,311000000,1775962439,108.25
816,225000000,1778554445,40.722129821777344,,0.367,0.54,보통,,0.54,,d83bda1d5960,1,8.833333015441895,25.025367736816406,316000000,1775962445,108.5
816.3333129882812,297000000,1778554451,40.73548126220703,,0.367,0.541,보통,,0.541,,d83bda1d5960,1,8.333333015441895,25.03070831298828,389000000,1775962451,108.91666412353516
817.3333129882812,257000000,1778554457,40.72022247314453,,0.368,0.543,보통,,0.543,,d83bda1d5960,1,8.333333015441895,25.0213623046875,347000000,1775962457,109.08333587646484
818,196000000,1778554463,40.722129821777344,,0.368,0.545,보통,,0.545,,d83bda1d5960,1,8.166666984558105,25.01068115234375,286000000,1775962463,109.25
818.6666870117188,241000000,1778554469,40.73834228515625,,0.368,0.547,보통,,0.547,,d83bda1d5960,1,8,25.016021728515625,332000000,1775962469,109.5
818.6666870117188,829000000,1778554476,40.75074005126953,,0.368,0.547,보통,,0.547,,d83bda1d5960,1,7.833333492279053,25.013351440429688,919000000,1775962476,109.75
819,193000000,1778554482,40.75169372558594,,0.368,0.548,보통,,0.548,,d83bda1d5960,1,7.833333492279053,25.02002716064453,284000000,1775962482,109.91666412353516
819,178000000,1778554488,40.75550842285156,,0.368,0.548,보통,,0.548,,d83bda1d5960,1,8.333333015441895,25.024032592773438,268000000,1775962488,110.16666412353516
819,44000000,1778554494,40.775535583496094,,0.367,0.548,보통,,0.548,,d83bda1d5960,1,8.333333015441895,25.006675720214844,135000000,1775962494,110.41666412353516
819.3333129882812,209000000,1778554500,40.79460906982422,,0.367,0.548,보통,,0.548,,d83bda1d5960,1,8.333333015441895,25.01201629638672,303000000,1775962500,110.66666412353516
819.6666870117188,82000000,1778554506,40.79651641845703,,0.367,0.549,보통,,0.549,,d83bda1d5960,1,8.166666984558105,25.03204345703125,172000000,1775962506,110.91666412353516
820.3333129882812,647000000,1778554512,40.798423767089844,,0.368,0.551,보통,,0.551,,d83bda1d5960,1,7.5,25.037384033203125,736000000,1775962512,111.16666412353516
821,120000000,1778554518,40.785072326660156,,0.368,0.553,보통,,0.553,,d83bda1d5960,1,7.166666507720947,25.017356872558594,209000000,1775962518,111.41666412353516
823,135000000,1778554524,40.78984069824219,,0.37,0.558,보통,,0.558,,d83bda1d5960,1,6.833333492279053,25.014686584472656,224000000,1775962524,111.66666412353516
825.3333129882812,240000000,1778554530,40.822265625,,0.37,0.563,보통,,0.563,,d83bda1d5960,1,7,25.00934600830078,330000000,1775962530,111.91666412353516
827.6666870117188,924000000,1778554537,40.82703399658203,,0.372,0.569,보통,,0.569,,d83bda1d5960,1,7,25.006675720214844,14000000,1775962538,112.25
828.6666870117188,36000000,1778554544,40.848968505859375,,0.372,0.572,보통,,0.572,,d83bda1d5960,1,7.166666507720947,25.02269744873047,126000000,1775962544,112.5
829.6666870117188,568000000,1778554549,40.874717712402344,,0.372,0.574,보통,,0.574,,d83bda1d5960,1,7.666666507720947,25.013351440429688,659000000,1775962549,112.75
831,534000000,1778554555,40.85755157470703,,0.373,0.578,보통,,0.578,,d83bda1d5960,1,8,25.0213623046875,625000000,1775962555,113
833,657000000,1778554561,40.851829528808594,,0.374,0.583,보통,,0.583,,d83bda1d5960,1,8,25.03204345703125,747000000,1775962561,113.25
834.6666870117188,561000000,1778554567,40.88043975830078,,0.375,0.587,보통,,0.587,,d83bda1d5960,1,8,25.03070831298828,652000000,1775962567,113.5
836.6666870117188,565000000,1778554573,40.899513244628906,,0.375,0.592,보통,,0.592,,d83bda1d5960,1,8,25.02269744873047,655000000,1775962573,113.75
838.3333129882812,585000000,1778554579,40.89569854736328,,0.377,0.596,보통,,0.596,,d83bda1d5960,1,8.333333015441895,25.008010864257812,675000000,1775962579,114
840.3333129882812,535000000,1778554585,40.899513244628906,,0.378,0.601,보통,,0.601,,d83bda1d5960,1,8.333333015441895,25.0213623046875,626000000,1775962585,114.25
842,613000000,1778554591,40.87567138671875,,0.379,0.605,보통,,0.605,,d83bda1d5960,1,8.333333015441895,25.040054321289062,703000000,1775962591,114.75
843.3333129882812,279000000,1778554599,40.868995666503906,,0.38,0.608,보통,,0.608,,d83bda1d5960,1,8.5,25.0213623046875,368000000,1775962599,115.08333587646484
844,854000000,1778554605,40.91191101074219,,0.38,0.61,보통,,0.61,,d83bda1d5960,1,8.333333015441895,25.00934600830078,945000000,1775962605,115.33333587646484
844,179000000,1778554611,40.948150634765625,,0.379,0.61,보통,,0.61,,d83bda1d5960,1,8.333333015441895,25.03204345703125,268000000,1775962611,115.66666412353516
844.6666870117188,64000000,1778554617,40.937660217285156,,0.379,0.612,보통,,0.612,,d83bda1d5960,1,8,25.03070831298828,154000000,1775962617,116
845.3333129882812,44000000,1778554623,40.913818359375,,0.38,0.613,보통,,0.613,,d83bda1d5960,1,7.833333492279053,25.02002716064453,134000000,1775962623,116.33333587646484
846.6666870117188,46000000,1778554629,40.95482635498047,,0.38,0.617,보통,,0.617,,d83bda1d5960,1,7.666666507720947,25.037384033203125,136000000,1775962629,116.58333587646484
847.6666870117188,78000000,1778554635,40.96436309814453,,0.381,0.619,보통,,0.619,,d83bda1d5960,1,7.166666507720947,25.040054321289062,169000000,1775962635,116.83333587646484
849.3333129882812,182000000,1778554641,40.97294616699219,,0.382,0.623,보통,,0.623,,d83bda1d5960,1,7.166666507720947,25.017356872558594,274000000,1775962641,117.16666412353516
851,91000000,1778554647,40.98534393310547,,0.382,0.628,보통,,0.628,,d83bda1d5960,1,7,25.014686584472656,181000000,1775962647,117.5
853,906000000,1778554653,40.98057556152344,,0.384,0.633,보통,,0.633,,d83bda1d5960,1,7,25.02269744873047,996000000,1775962653,117.75
854.6666870117188,451000000,1778554660,40.974853515625,,0.385,0.637,보통,,0.637,,d83bda1d5960,1,7,25.017356872558594,541000000,1775962660,118
856,52000000,1778554667,40.974853515625,,0.386,0.64,보통,,0.64,,d83bda1d5960,1,7.166666507720947,25.017356872558594,143000000,1775962667,118.33333587646484
857.3333129882812,696000000,1778554672,40.975807189941406,,0.386,0.643,보통,,0.643,,d83bda1d5960,1,7.666666507720947,25.02269744873047,786000000,1775962672,118.58333587646484
858.6666870117188,674000000,1778554678,40.99964904785156,,0.387,0.647,보통,,0.647,,d83bda1d5960,1,7.833333492279053,25.029373168945312,763000000,1775962678,118.91666412353516
860.3333129882812,719000000,1778554684,41.01300048828125,,0.387,0.651,보통,,0.651,,d83bda1d5960,1,8,25.016021728515625,809000000,1775962684,119.16666412353516
861,801000000,1778554690,41.02253723144531,,0.388,0.653,보통,,0.653,,d83bda1d5960,1,7.833333492279053,25.006675720214844,893000000,1775962690,119.41666412353516
861.6666870117188,625000000,1778554696,41.00251007080078,,0.388,0.654,보통,,0.654,,d83bda1d5960,1,7.833333492279053,25.006675720214844,718000000,1775962696,119.75
862,717000000,1778554702,41.00823211669922,,0.389,0.655,보통,,0.655,,d83bda1d5960,1,7.833333492279053,25.026702880859375,808000000,1775962702,120.08333587646484
863,680000000,1778554708,41.02539825439453,,0.389,0.658,보통,,0.658,,d83bda1d5960,1,8,25.040054321289062,771000000,1775962708,120.41666412353516
863.6666870117188,177000000,1778554716,41.01872253417969,,0.389,0.659,보통,,0.659,,d83bda1d5960,1,8,25.013351440429688,267000000,1775962716,120.66666412353516
864.6666870117188,850000000,1778554723,41.04161071777344,,0.389,0.662,보통,,0.662,,d83bda1d5960,1,8.166666984558105,24.997329711914062,940000000,1775962723,120.91666412353516
865.6666870117188,119000000,1778554731,41.06163787841797,,0.39,0.664,보통,,0.664,,d83bda1d5960,1,8.333333015441895,25.004005432128906,210000000,1775962731,121.16666412353516
867,654000000,1778554736,41.06068420410156,,0.39,0.668,보통,,0.668,,d83bda1d5960,1,8,24.997329711914062,751000000,1775962736,121.5
867.6666870117188,592000000,1778554742,41.06640625,,0.391,0.669,보통,,0.669,,d83bda1d5960,1,7.666666507720947,25.004005432128906,682000000,1775962742,121.75
868,652000000,1778554748,41.08643341064453,,0.39,0.67,보통,,0.67,,d83bda1d5960,1,7.166666507720947,25.00934600830078,742000000,1775962748,122.08333587646484
868,640000000,1778554754,41.108367919921875,,0.39,0.67,보통,,0.67,,d83bda1d5960,1,7.166666507720947,25.013351440429688,730000000,1775962754,122.33333587646484
868.3333129882812,710000000,1778554760,41.09978485107422,,0.39,0.671,보통,,0.671,,d83bda1d5960,1,7,25.040054321289062,801000000,1775962760,122.58333587646484
869,630000000,1778554766,41.097877502441406,,0.391,0.673,보통,,0.673,,d83bda1d5960,1,7,25.028038024902344,722000000,1775962766,122.83333587646484
870,649000000,1778554772,41.090248107910156,,0.391,0.675,보통,,0.675,,d83bda1d5960,1,7.5,25.02002716064453,739000000,1775962772,123
871,992000000,1778554778,41.067359924316406,,0.393,0.678,보통,,0.678,,d83bda1d5960,1,7.833333492279053,25.017356872558594,89000000,1775962779,123.16666412353516
871.6666870117188,807000000,1778554786,41.120765686035156,,0.392,0.679,보통,,0.679,,d83bda1d5960,1,8,25.025367736816406,897000000,1775962786,123.41666412353516
872,243000000,1778554792,41.141746520996094,,0.391,0.68,보통,,0.68,,d83bda1d5960,1,8,25.03070831298828,333000000,1775962792,123.58333587646484
872.3333129882812,122000000,1778554798,41.11981201171875,,0.392,0.681,보통,,0.681,,d83bda1d5960,1,8.166666984558105,25.002670288085938,212000000,1775962798,123.83333587646484
872.6666870117188,161000000,1778554804,41.15605163574219,,0.392,0.682,보통,,0.682,,d83bda1d5960,1,8.333333015441895,25.008010864257812,251000000,1775962804,124.08333587646484
873.3333129882812,231000000,1778554810,41.15986633300781,,0.392,0.683,보통,,0.683,,d83bda1d5960,1,8.166666984558105,25.018692016601562,321000000,1775962810,124.33333587646484
873.6666870117188,131000000,1778554816,41.146514892578125,,0.392,0.684,보통,,0.684,,d83bda1d5960,1,7.833333492279053,25.02002716064453,221000000,1775962816,124.58333587646484
874.6666870117188,230000000,1778554822,41.17035675048828,,0.392,0.687,보통,,0.687,,d83bda1d5960,1,8,25.028038024902344,320000000,1775962822,124.83333587646484
875.3333129882812,130000000,1778554828,41.17035675048828,,0.393,0.688,보통,,0.688,,d83bda1d5960,1,8.166666984558105,25.026702880859375,219000000,1775962828,125.16666412353516
876,71000000,1778554835,41.174171447753906,,0.393,0.69,보통,,0.69,,d83bda1d5960,1,8,25.005340576171875,161000000,1775962835,125.66666412353516
876.6666870117188,650000000,1778554840,41.19896697998047,,0.393,0.692,보통,,0.692,,d83bda1d5960,1,7.833333492279053,25.005340576171875,742000000,1775962840,126.33333587646484
877.3333129882812,260000000,1778554848,41.1884765625,,0.394,0.693,보통,,0.693,,d83bda1d5960,1,8,25.01068115234375,351000000,1775962848,127.16666412353516
