createdAt,pm25,usAQI,co2,tvoc,nox,temp,humidity
2026-04-07T23:05:32.647Z,3,13,1311.3333740234375,256.6666564941406,1,24.822418212890625,44.999305725097656
2026-04-07T23:05:37.602Z,3.3333332538604736,14,1314,257.3333435058594,1,24.833099365234375,44.93445587158203
2026-04-07T23:05:42.627Z,3.3333332538604736,14,1315.3333740234375,257.5,1,24.833099365234375,44.93445587158203
2026-04-07T23:05:47.613Z,3.1666667461395264,13,1315,257.3333435058594,1,24.822418212890625,44.88581848144531
2026-04-07T23:05:52.648Z,3.5,15,1313.6666259765625,256.8333435058594,1,24.81574249267578,44.861976623535156
2026-04-07T23:05:57.610Z,3.8333332538604736,16,1312.3333740234375,256.1666564941406,1,24.810401916503906,44.918243408203125
2026-04-07T23:06:02.610Z,4.166666507720947,17,1310.6666259765625,255.6666717529297,1,24.810401916503906,44.918243408203125
2026-04-07T23:06:07.579Z,4.333333492279053,18,1308.6666259765625,255.3333282470703,1,24.79438018798828,44.915382385253906
2026-04-07T23:06:12.603Z,4.666666507720947,19,1305,254.8333282470703,1,24.809066772460938,44.854347229003906
2026-04-07T23:06:17.627Z,4.666666507720947,19,1301.3333740234375,254.4166717529297,1,24.822418212890625,44.877235412597656
2026-04-07T23:06:22.624Z,4.5,19,1297.6666259765625,253.9166717529297,1,24.822418212890625,44.877235412597656
2026-04-07T23:06:27.615Z,4.166666507720947,17,1295,253.5833282470703,1,24.79438018798828,44.89630889892578
2026-04-07T23:06:32.621Z,3.6666667461395264,15,1292,253.5833282470703,1,24.778358459472656,44.76660919189453
2026-04-07T23:06:37.646Z,3.5,15,1290,253.6666717529297,1,24.80506134033203,44.552978515625
2026-04-07T23:06:42.602Z,3.5,15,1288.3333740234375,253.8333282470703,1,24.80506134033203,44.552978515625
2026-04-07T23:06:47.622Z,3.5,15,1286.6666259765625,254.1666717529297,1,24.81841278076172,44.3746337890625
2026-04-07T23:06:52.627Z,3.1666667461395264,13,1283.3333740234375,254.1666717529297,1,24.811737060546875,44.280216217041016
2026-04-07T23:06:57.648Z,3,13,1280.3333740234375,253.9166717529297,1,24.80506134033203,44.261146545410156
