co2,createdAt._nanoseconds,createdAt._seconds,expireAt._nanoseconds,expireAt._seconds,humidity,iaqi.e_score,iaqi.i_score,iaqi.m_score,iaqi.primary_grade,iaqi.sub_level,iaqiScore,k,nox,pm25,temp,timestamp._nanoseconds,timestamp._seconds,tvoc
828,543000000,1775937670,60000000,1778529670,46.72187805175781,,0.263,0.57,보통,,0.57,,1,20.33333396911621,24.894519805908203,543000000,1775937670,104.83333587646484
828,544000000,1775937676,70000000,1778529676,46.7352294921875,,0.26,0.57,보통,,0.57,,1,20,24.89719009399414,544000000,1775937676,104.66666412353516
828,430000000,1775937683,940000000,1778529682,46.696128845214844,,0.261,0.57,보통,,0.57,,1,20,24.889175415039062,430000000,1775937683,104.5
828,132000000,1775937691,648000000,1778529690,46.63890838623047,,0.261,0.57,보통,,0.57,,1,19.83333396911621,24.893184661865234,132000000,1775937691,104.41666412353516
828,28000000,1775937697,542000000,1778529696,46.59789276123047,,0.26,0.57,보통,,0.57,,1,19.5,24.895854949951172,28000000,1775937697,104.33333587646484
827.6666870117188,120000000,1775937703,634000000,1778529702,46.56355285644531,,0.259,0.569,보통,,0.569,,1,19.33333396911621,24.885169982910156,120000000,1775937703,104.25
827.6666870117188,336000000,1775937709,859000000,1778529708,46.57500076293945,,0.26,0.569,보통,,0.569,,1,19.5,24.886505126953125,336000000,1775937709,104.16666412353516
828,51000000,1775937715,569000000,1778529714,46.56260299682617,,0.264,0.57,보통,,0.57,,1,20,24.886505126953125,51000000,1775937715,104
828.3333129882812,94000000,1775937721,608000000,1778529720,46.54734420776367,,0.267,0.571,보통,,0.571,,1,20.33333396911621,24.88784408569336,94000000,1775937721,103.83333587646484
828.6666870117188,98000000,1775937727,614000000,1778529726,46.576908111572266,,0.268,0.572,보통,,0.572,,1,20.5,24.879833221435547,98000000,1775937727,103.75
828.6666870117188,202000000,1775937733,722000000,1778529732,46.622684478759766,,0.268,0.572,보통,,0.572,,1,20.66666603088379,24.874488830566406,202000000,1775937733,103.66666412353516
829,89000000,1775937739,615000000,1778529738,46.69516372680664,,0.265,0.573,보통,,0.573,,1,20.5,24.895854949951172,89000000,1775937739,103.5
829,857000000,1775937746,361000000,1778529746,46.698020935058594,,0.263,0.573,보통,,0.573,,1,20.16666603088379,24.90253448486328,857000000,1775937746,103.33333587646484
829,300000000,1775937753,817000000,1778529752,46.62171936035156,,0.261,0.573,보통,,0.573,,1,19.66666603088379,24.895854949951172,300000000,1775937753,103.16666412353516
828.6666870117188,178000000,1775937759,703000000,1778529758,46.58928680419922,,0.259,0.572,보통,,0.572,,1,19.33333396911621,24.883834838867188,178000000,1775937759,102.91666412353516
828.3333129882812,148000000,1775937765,670000000,1778529764,46.61885452270508,,0.255,0.571,보통,,0.571,,1,18.83333396911621,24.886505126953125,148000000,1775937765,102.66666412353516
828,470000000,1775937771,988000000,1778529770,46.65127944946289,,0.252,0.57,보통,,0.57,,1,18.66666603088379,24.89318084716797,470000000,1775937771,102.16666412353516
828.3333129882812,376000000,1775937777,901000000,1778529776,46.661766052246094,,0.25,0.571,보통,,0.571,,1,18.33333396911621,24.89051055908203,376000000,1775937777,101.75
829,656000000,1775937783,167000000,1778529783,46.64269256591797,,0.248,0.573,보통,,0.573,,1,18,24.883834838867188,656000000,1775937783,101.41666412353516
830,426000000,1775937789,942000000,1778529788,46.616943359375,,0.251,0.575,보통,,0.575,,1,18.16666603088379,24.867813110351562,426000000,1775937789,101.16666412353516
831,401000000,1775937795,930000000,1778529794,46.593101501464844,,0.253,0.578,보통,,0.578,,1,18.33333396911621,24.867813110351562,401000000,1775937795,100.83333587646484
832,220000000,1775937802,727000000,1778529801,46.56067657470703,,0.257,0.58,보통,,0.58,,1,18.66666603088379,24.875823974609375,220000000,1775937802,100.58333587646484
832.3333129882812,588000000,1775937808,99000000,1778529808,46.5911979675293,,0.259,0.581,보통,,0.581,,1,19,24.875823974609375,588000000,1775937808,100.5
832.6666870117188,259000000,1775937815,775000000,1778529814,46.596920013427734,,0.264,0.582,보통,,0.582,,1,19.66666603088379,24.874488830566406,259000000,1775937815,100.41666412353516
832.3333129882812,232000000,1775937821,758000000,1778529820,46.55304718017578,,0.268,0.581,보통,,0.581,,1,20.16666603088379,24.86914825439453,232000000,1775937821,100.33333587646484
832.3333129882812,265000000,1775937827,781000000,1778529826,46.540645599365234,,0.269,0.581,보통,,0.581,,1,20.16666603088379,24.877159118652344,265000000,1775937827,100.16666412353516
832,498000000,1775937833,23000000,1778529833,46.54636764526367,,0.268,0.58,보통,,0.58,,1,20.16666603088379,24.878494262695312,498000000,1775937833,100
832,367000000,1775937839,893000000,1778529838,46.54636764526367,,0.271,0.58,보통,,0.58,,1,20.5,24.862472534179688,367000000,1775937839,99.66666412353516
831.6666870117188,350000000,1775937845,856000000,1778529844,46.55495071411133,,0.271,0.579,보통,,0.579,,1,20.66666603088379,24.853126525878906,350000000,1775937845,99.5
831,329000000,1775937851,853000000,1778529850,46.59023666381836,,0.269,0.578,보통,,0.578,,1,20.5,24.86113739013672,329000000,1775937851,99.33333587646484
830.3333129882812,367000000,1775937857,886000000,1778529856,46.61980056762695,,0.267,0.576,보통,,0.576,,1,20.33333396911621,24.874488830566406,367000000,1775937857,99
829.3333129882812,239000000,1775937864,761000000,1778529863,46.61980056762695,,0.266,0.573,보통,,0.573,,1,20.33333396911621,24.85846710205078,239000000,1775937864,98.83333587646484
828,448000000,1775937870,969000000,1778529869,46.64936065673828,,0.264,0.57,보통,,0.57,,1,20.33333396911621,24.846450805664062,448000000,1775937870,98.66666412353516
826.3333129882812,205000000,1775937877,718000000,1778529876,46.682743072509766,,0.261,0.566,보통,,0.566,,1,20.16666603088379,24.84778594970703,205000000,1775937877,98.58333587646484
825.3333129882812,340000000,1775937883,860000000,1778529882,46.66748046875,,0.261,0.563,보통,,0.563,,1,20.16666603088379,24.841110229492188,340000000,1775937883,98.41666412353516
825,213000000,1775937889,732000000,1778529888,46.63505554199219,,0.262,0.563,보통,,0.563,,1,20.16666603088379,24.84912109375,213000000,1775937889,98.25
825,207000000,1775937895,726000000,1778529894,46.60834503173828,,0.261,0.563,보통,,0.563,,1,20,24.84778594970703,207000000,1775937895,98.08333587646484
825,225000000,1775937901,747000000,1778529900,46.68368911743164,,0.258,0.563,보통,,0.563,,1,19.83333396911621,24.84778594970703,225000000,1775937901,97.91666412353516
825.3333129882812,175000000,1775937907,697000000,1778529906,46.7847785949707,,0.255,0.563,보통,,0.563,,1,19.66666603088379,24.846450805664062,175000000,1775937907,97.75
825.6666870117188,320000000,1775937913,839000000,1778529912,46.78954315185547,,0.252,0.564,보통,,0.564,,1,19.33333396911621,24.835769653320312,320000000,1775937913,97.5
826,242000000,1775937919,766000000,1778529918,46.706573486328125,,0.253,0.565,보통,,0.565,,1,19.16666603088379,24.825088500976562,242000000,1775937919,97.25
826,967000000,1775937926,486000000,1778529926,46.66747283935547,,0.254,0.565,보통,,0.565,,1,19.16666603088379,24.8277587890625,967000000,1775937926,97.08333587646484
826,341000000,1775937932,859000000,1778529931,46.65507507324219,,0.258,0.565,보통,,0.565,,1,19.66666603088379,24.841110229492188,341000000,1775937932,96.91666412353516
826,296000000,1775937939,821000000,1778529938,46.617881774902344,,0.262,0.565,보통,,0.565,,1,20,24.83977508544922,296000000,1775937939,96.75
826,267000000,1775937945,784000000,1778529944,46.63123321533203,,0.264,0.565,보통,,0.565,,1,20.33333396911621,24.84778594970703,267000000,1775937945,96.58333587646484
826,279000000,1775937951,806000000,1778529950,46.66461181640625,,0.265,0.565,보통,,0.565,,1,20.66666603088379,24.834434509277344,279000000,1775937951,96.41666412353516
826.3333129882812,265000000,1775937957,779000000,1778529956,46.66938018798828,,0.264,0.566,보통,,0.566,,1,20.5,24.822418212890625,265000000,1775937957,96.33333587646484
827,401000000,1775937963,914000000,1778529962,46.663658142089844,,0.265,0.568,보통,,0.568,,1,20.5,24.822418212890625,401000000,1775937963,96.25
827.6666870117188,235000000,1775937969,747000000,1778529968,46.619781494140625,,0.265,0.569,보통,,0.569,,1,20.33333396911621,24.813072204589844,235000000,1775937969,96.16666412353516
828,243000000,1775937975,763000000,1778529974,46.553016662597656,,0.266,0.57,보통,,0.57,,1,20.16666603088379,24.82642364501953,243000000,1775937975,96.08333587646484
828.3333129882812,843000000,1775937982,361000000,1778529982,46.51773452758789,,0.265,0.571,보통,,0.571,,1,20,24.834434509277344,843000000,1775937982,96
828.6666870117188,800000000,1775937988,321000000,1778529988,46.53013229370117,,0.265,0.572,보통,,0.572,,1,20,24.82909393310547,800000000,1775937988,96
829,400000000,1775937994,921000000,1778529993,46.53013229370117,,0.269,0.573,보통,,0.573,,1,20.5,24.82909393310547,400000000,1775937994,96
829.3333129882812,233000000,1775938001,754000000,1778530000,46.559696197509766,,0.269,0.573,보통,,0.573,,1,20.5,24.833099365234375,233000000,1775938001,95.91666412353516
829.3333129882812,188000000,1775938007,712000000,1778530006,46.54348373413086,,0.267,0.573,보통,,0.573,,1,20.16666603088379,24.8277587890625,188000000,1775938007,95.83333587646484
829.6666870117188,316000000,1775938013,824000000,1778530012,46.56160354614258,,0.266,0.574,보통,,0.574,,1,20.16666603088379,24.822418212890625,316000000,1775938013,95.75
829.6666870117188,231000000,1775938019,748000000,1778530018,46.55778884887695,,0.265,0.574,보통,,0.574,,1,20,24.834434509277344,231000000,1775938019,95.66666412353516
830,268000000,1775938027,786000000,1778530026,46.54157638549805,,0.265,0.575,보통,,0.575,,1,19.83333396911621,24.83710479736328,268000000,1775938027,95.58333587646484
830,187000000,1775938033,707000000,1778530032,46.5349006652832,,0.26,0.575,보통,,0.575,,1,19.16666603088379,24.843780517578125,187000000,1775938033,95.5
830,91000000,1775938039,612000000,1778530038,46.50056838989258,,0.259,0.575,보통,,0.575,,1,18.83333396911621,24.835769653320312,91000000,1775938039,95.41666412353516
830.3333129882812,859000000,1775938046,382000000,1778530046,46.501522064208984,,0.258,0.576,보통,,0.576,,1,18.66666603088379,24.822418212890625,859000000,1775938046,95.33333587646484
830.3333129882812,713000000,1775938052,222000000,1778530052,46.493892669677734,,0.257,0.576,보통,,0.576,,1,18.5,24.822418212890625,713000000,1775938052,95.25
830.3333129882812,103000000,1775938058,616000000,1778530057,46.5034294128418,,0.256,0.576,보통,,0.576,,1,18.5,24.814407348632812,103000000,1775938058,95.16666412353516
830.3333129882812,647000000,1775938064,171000000,1778530064,46.5339469909668,,0.256,0.576,보통,,0.576,,1,18.5,24.813072204589844,647000000,1775938064,95.08333587646484
830.6666870117188,739000000,1775938070,257000000,1778530070,46.547298431396484,,0.255,0.577,보통,,0.577,,1,18.5,24.81574249267578,739000000,1775938070,94.91666412353516
831,933000000,1775938076,454000000,1778530076,46.5492057800293,,0.254,0.578,보통,,0.578,,1,18.33333396911621,24.821083068847656,933000000,1775938076,94.83333587646484
830.6666870117188,796000000,1775938082,315000000,1778530082,46.51773452758789,,0.255,0.577,보통,,0.577,,1,18.33333396911621,24.819747924804688,796000000,1775938082,94.75
830.6666870117188,734000000,1775938088,253000000,1778530088,46.51010513305664,,0.254,0.577,보통,,0.577,,1,18.16666603088379,24.803726196289062,734000000,1775938088,94.66666412353516
830.6666870117188,664000000,1775938094,191000000,1778530094,46.51487350463867,,0.252,0.577,보통,,0.577,,1,17.83333396911621,24.79705047607422,664000000,1775938094,94.58333587646484
831,721000000,1775938100,232000000,1778530100,46.53585433959961,,0.25,0.578,보통,,0.578,,1,17.66666603088379,24.79705047607422,721000000,1775938100,94.5
831.3333129882812,836000000,1775938107,352000000,1778530107,46.58830642700195,,0.248,0.578,보통,,0.578,,1,17.5,24.80506134033203,836000000,1775938107,94.41666412353516
