"createdAt","pm25","co2","tvoc","nox","temp","humidity","usAQI"
"2026-04-07T13:33:52.652Z","2.8333332538604736","1115.6666259765625","216.3333282470703","1","23.874454498291016","42.48453903198242","12"
"2026-04-07T13:33:58.605Z","2.5","1110.3333740234375","216.4166717529297","1","23.883804321289062","42.53508758544922","10"
"2026-04-07T13:34:05.509Z","2.3333332538604736","1107.3333740234375","216.5833282470703","1","23.88780975341797","42.43399429321289","10"
"2026-04-07T13:34:11.431Z","2.1666667461395264","1103","216.9166717529297","1","23.890480041503906","42.29952621459961","9"
"2026-04-07T13:34:17.038Z","2.3333332538604736","1100.3333740234375","217.3333282470703","1","23.878459930419922","42.29094696044922","10"
"2026-04-07T13:34:23.165Z","2.3333332538604736","1098","217.75","1","23.883800506591797","42.39012908935547","10"
"2026-04-07T13:34:29.026Z","2.3333332538604736","1097.3333740234375","218.1666717529297","1","23.901161193847656","42.737274169921875","10"
"2026-04-07T13:34:35.119Z","2.3333332538604736","1098","218.5833282470703","1","23.890480041503906","43.22079849243164","10"
"2026-04-07T13:34:41.233Z","2.5","1100.6666259765625","218.6666717529297","1","23.879798889160156","43.51739501953125","10"
"2026-04-07T13:34:47.082Z","2.6666667461395264","1108.3333740234375","218.6666717529297","1","23.879798889160156","43.53360366821289","11"
"2026-04-07T13:34:53.150Z","2.8333332538604736","1120.6666259765625","218.5833282470703","1","23.893150329589844","43.237003326416016","12"
"2026-04-07T13:34:59.487Z","2.8333332538604736","1141","218.5","1","23.891815185546875","42.82882308959961","12"
"2026-04-07T13:35:06.331Z","3","1159.3333740234375","218.3333282470703","1","23.87044906616211","42.566558837890625","12"
"2026-04-07T13:35:11.905Z","3.1666667461395264","1175.6666259765625","218.0833282470703","1","23.867778778076172","42.399662017822266","13"
"2026-04-07T13:35:17.642Z","3.3333332538604736","1183.6666259765625","217.6666717529297","1","23.87712860107422","42.255653381347656","14"
"2026-04-07T13:35:23.680Z","3.5","1189.3333740234375","217.25","1","23.871784210205078","42.10211181640625","15"
"2026-04-07T13:35:29.622Z","3.3333332538604736","1190.6666259765625","216.75","1","23.857093811035156","42.034400939941406","14"
"2026-04-07T13:35:35.585Z","3.5","1187.3333740234375","216.25","1","23.859764099121094","42.139305114746094","15"
"2026-04-07T13:35:41.695Z","3.3333332538604736","1181.6666259765625","215.75","1","23.85175323486328","42.37868118286133","14"
"2026-04-07T13:35:47.563Z","3.1666667461395264","1172","215.1666717529297","1","23.838401794433594","42.57991027832031","13"
"2026-04-07T13:35:53.666Z","2.8333332538604736","1164.3333740234375","214.4166717529297","1","23.839736938476562","42.6895866394043","12"
"2026-04-07T13:36:00.011Z","2.3333332538604736","1155","213.1666717529297","1","23.84374237060547","42.68386459350586","10"
"2026-04-07T13:36:06.876Z","2","1149.3333740234375","209.5833282470703","1","23.855758666992188","42.701026916503906","8"
"2026-04-07T13:36:13.371Z","1.5","1142.3333740234375","207.1666717529297","1","23.858428955078125","42.867923736572266","6"
"2026-04-07T13:36:18.648Z","1.5","1136.6666259765625","204.0833282470703","1","23.849082946777344","43.08250427246094","6"
"2026-04-07T13:36:24.666Z","1.5","1132.3333740234375","200.6666717529297","1","23.867778778076172","43.43727111816406","6"
"2026-04-07T13:36:30.666Z","1.6666666269302368","1132.3333740234375","196.9166717529297","1","23.86911392211914","43.78346252441406","7"
"2026-04-07T13:36:36.733Z","1.8333333730697632","1135.6666259765625","193","1","23.847747802734375","44.01711654663086","8"
"2026-04-07T13:36:42.794Z","2.1666667461395264","1141","189","1","23.83172607421875","44.150634765625","9"
"2026-04-07T13:36:48.651Z","2.3333332538604736","1145.6666259765625","184.9166717529297","1","23.829055786132812","44.108673095703125","10"
"2026-04-07T13:36:54.633Z","2.5","1151.3333740234375","181.0833282470703","1","23.845077514648438","44.18401336669922","10"
"2026-04-07T13:37:00.624Z","2.6666667461395264","1156","177.6666717529297","1","23.84374237060547","44.493011474609375","11"
"2026-04-07T13:37:07.413Z","2.5","1162.3333740234375","174.8333282470703","1","23.838401794433594","44.77912139892578","10"
"2026-04-07T13:37:13.869Z","2.6666667461395264","1167.6666259765625","172.75","1","23.835731506347656","44.843017578125","11"
"2026-04-07T13:37:19.111Z","2.8333332538604736","1174","171.0833282470703","1","23.839736938476562","44.69615173339844","12"
"2026-04-07T13:37:25.067Z","3","1179","170.1666717529297","1","23.8424072265625","44.48633575439453","12"
"2026-04-07T13:37:31.077Z","2.6666667461395264","1184.3333740234375","170.1666717529297","1","23.84374237060547","44.3079948425293","11"
"2026-04-07T13:37:37.116Z","2.5","1188","170.6666717529297","1","23.83306121826172","44.12297821044922","10"
"2026-04-07T13:37:43.214Z","2.3333332538604736","1191.3333740234375","171.5833282470703","1","23.81169891357422","43.90935516357422","10"
"2026-04-07T13:37:49.081Z","2","1192.6666259765625","172.75","1","23.80902862548828","43.803497314453125","8"
"2026-04-07T13:37:55.040Z","1.6666666269302368","1193.3333740234375","174.1666717529297","1","23.821044921875","43.768211364746094","7"
"2026-04-07T13:38:01.087Z","1.3333333730697632","1193","175.6666717529297","1","23.84374237060547","43.632781982421875","6"
"2026-04-07T13:38:07.989Z","1.5","1192.3333740234375","177.1666717529297","1","23.839736938476562","43.464927673339844","6"
"2026-04-07T13:38:14.351Z","1.8333333730697632","1191","178.5833282470703","1","23.8424072265625","43.32950210571289","8"
"2026-04-07T13:38:19.613Z","2.1666667461395264","1188.3333740234375","180.0833282470703","1","23.84107208251953","43.339996337890625","9"
"2026-04-07T13:38:25.639Z","2.6666667461395264","1185.6666259765625","181.4166717529297","1","23.827720642089844","43.482093811035156","11"
"2026-04-07T13:38:31.681Z","3","1182.6666259765625","182.5833282470703","1","23.839736938476562","43.576515197753906","12"
"2026-04-07T13:38:37.595Z","3.5","1181","183.75","1","23.837066650390625","43.875972747802734","15"
"2026-04-07T13:38:43.716Z","3.5","1180.3333740234375","185","1","23.829055786132812","44.37093734741211","15"
"2026-04-07T13:38:49.634Z","3.1666667461395264","1181.6666259765625","186.3333282470703","1","23.834396362304688","44.6341552734375","13"
"2026-04-07T13:38:55.594Z","3.1666667461395264","1185.3333740234375","187.8333282470703","1","23.837066650390625","44.72285079956055","13"
"2026-04-07T13:39:02.061Z","2.6666667461395264","1189.6666259765625","189.4166717529297","1","23.84374237060547","44.866851806640625","11"
"2026-04-07T13:39:08.444Z","2.3333332538604736","1195.3333740234375","190.9166717529297","1","23.849082946777344","44.915489196777344","10"
